QUARTOS,BANHEIROS,AREA_CONVIV,AREA_LOTE,ANDARES,VISTA,NOTA_CONSERV,NOTA_GERAL,AREA_PORAO,ANO_CONST,ANO_REFOR,CARO
1,1,0,0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1
1,1,0,1,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0
0,1,1,0,1,0,0,0,0,0,0,0
1,1,1,0,1,0,0,1,1,1,0,1
0,0,0,1,0,0,1,0,0,0,0,1
1,1,1,0,1,0,1,1,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,1,1,0,0,1,0,1,0,1
1,1,1,1,1,1,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,0,1
1,1,1,0,1,0,0,1,0,1,0,1
0,1,0,0,0,0,1,0,0,0,0,1
1,1,0,0,1,0,0,0,0,1,0,1
1,0,0,0,0,0,1,0,0,0,0,1
1,1,1,1,1,0,0,1,0,1,0,1
1,1,1,0,1,0,0,1,0,1,0,1
1,1,0,0,0,0,1,0,1,0,0,0
1,1,1,1,0,0,1,1,1,0,0,1
0,0,0,0,0,0,1,0,0,0,0,1
1,1,1,0,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,0,0,0,0
1,1,1,0,1,0,0,1,1,1,0,1
1,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1
1,1,0,1,0,0,1,0,0,0,0,0
0,1,0,1,0,0,1,0,1,0,0,0
0,1,0,1,1,0,0,0,0,0,0,0
0,1,1,1,1,1,0,1,0,0,0,1
0,1,0,0,0,0,1,0,1,0,0,1
1,1,1,0,1,0,0,1,0,1,0,1
0,1,0,0,1,0,0,0,0,0,0,1
1,1,0,0,1,0,0,0,0,1,0,0
1,1,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,1,0,0,0,0,1
1,1,0,0,0,0,1,0,0,0,0,1
0,1,0,1,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0
1,1,0,1,0,0,1,0,0,0,0,0
1,1,0,0,0,0,1,0,1,0,0,0
1,1,0,0,0,0,1,0,1,0,0,0
1,1,0,1,1,1,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1,0,1,0,0,0,0,1
1,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,1,0,1
1,0,0,0,0,0,1,0,0,0,0,0
1,1,1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,0,0,0,1
1,1,1,1,1,1,0,1,1,0,0,0
0,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,1,0,0,1
1,1,1,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,1
0,1,0,1,0,0,0,0,1,0,0,1
0,1,1,1,1,0,0,1,0,0,0,1
1,1,0,1,1,0,1,1,0,0,0,1
1,1,1,0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,1
1,1,1,0,1,0,0,1,0,1,0,1
0,1,1,1,0,1,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,1,1,0,0,1,0,0,1,0
1,1,1,0,1,0,0,1,0,1,0,1
1,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,1
1,1,0,1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1
1,1,1,0,1,0,0,1,1,1,0,0
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,1,0,0,0
0,1,0,1,0,0,1,0,0,0,0,0
1,1,1,0,1,0,0,1,0,1,0,1
1,1,0,1,1,0,1,1,0,0,0,1
1,1,1,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,0
0,1,0,1,0,0,1,0,0,0,0,1
1,1,1,0,1,0,0,1,0,0,0,1
1,1,1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,0,1,0,1,0,1
1,1,1,1,1,0,0,0,0,0,0,0
1,1,1,0,1,0,0,1,0,1,0,1
0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0
1,1,0,1,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,1,0,0,0,1
1,1,0,0,0,0,1,0,1,0,0,0
1,1,1,0,1,0,0,1,0,1,0,1
1,1,0,1,1,0,0,0,0,0,0,1
1,1,1,1,1,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,1,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1
0,1,0,1,0,0,1,0,0,0,0,0
1,1,0,0,0,0,1,0,1,0,0,0
1,1,0,0,0,0,1,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,0,1
0,1,0,1,1,0,0,0,0,0,1,0
0,1,0,0,0,0,1,0,0,0,0,1
0,1,0,0,1,0,0,0,0,0,0,1
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,1,1,1,0,1,0,0,0,1
1,1,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,1
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,0,1,0
0,0,0,1,1,1,0,0,0,0,0,1
1,1,0,1,0,0,0,0,1,0,0,1
0,1,1,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,1
1,1,1,1,1,0,0,1,0,0,0,0
0,1,1,1,1,0,0,1,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,0,0,0,1
0,1,1,0,1,0,0,1,0,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,1,0,1
0,1,0,0,1,0,1,0,0,0,0,1
0,1,1,1,0,0,1,0,0,0,0,1
1,1,1,1,1,0,0,1,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,1,0,0,1,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,1
1,1,0,1,0,0,1,0,1,0,0,0
0,1,0,1,1,0,1,0,0,0,0,1
1,1,0,0,0,0,1,0,1,0,0,0
0,1,0,1,0,0,1,0,1,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1
1,1,1,0,1,0,0,0,0,1,0,1
1,1,1,0,1,0,0,1,0,1,0,1
1,1,0,0,0,0,0,0,1,0,0,0
1,1,0,1,0,0,1,0,1,0,0,0
1,1,1,0,1,0,0,1,1,0,0,1
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,1,1,0,1,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0
0,1,0,1,1,0,1,0,0,0,0,1
0,1,1,0,1,0,0,1,0,1,0,0
0,1,0,0,1,0,0,0,0,0,0,1
0,1,1,0,1,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,1
1,1,0,0,1,0,0,0,0,0,0,1
1,1,1,0,1,0,0,1,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0,1
1,1,1,1,1,0,0,1,0,0,0,1
1,1,0,0,0,0,1,0,1,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0
0,1,0,0,0,0,1,0,1,0,0,1
1,1,1,0,1,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,1,0,1,0,0,0
0,1,0,0,1,0,0,0,0,1,0,0
1,1,0,1,0,0,1,0,0,0,0,0
1,1,0,0,1,0,1,0,0,0,0,1
0,1,0,0,1,0,0,0,0,1,0,0
1,1,0,1,0,0,0,0,1,0,0,1
1,1,1,1,1,0,1,0,1,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,1,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,1
0,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0,0
1,1,1,1,0,0,1,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,0
1,1,0,1,0,0,0,0,1,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,1,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,0,1,0,0,0,0,1,0,1
0,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,1,1,0,1
1,1,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,0,1,0,0,0,0,0,0,1
0,1,1,0,1,0,0,1,0,0,0,1
1,1,1,0,1,0,0,1,0,1,0,0
1,1,0,0,0,0,1,0,1,0,0,0
1,1,1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,1,1,0,0,1,0,0,0,1
1,1,0,0,0,0,1,0,1,0,0,0
0,1,0,0,1,0,1,0,0,0,0,0
1,1,0,0,1,0,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,0,0,0
1,1,1,0,1,0,0,1,1,1,0,1
1,1,0,0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,1
1,1,0,0,0,0,1,0,1,0,0,0
0,1,0,1,0,0,0,0,1,0,1,0
0,1,0,1,0,0,1,0,1,0,0,1
1,1,0,0,1,0,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,1,0,0
0,1,0,0,1,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,1,0,0,0
1,1,1,0,0,0,0,0,1,0,0,0
1,1,1,0,1,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,1,0,1,0,0,0,0,1
1,1,1,0,1,0,0,1,0,0,0,1
1,1,1,1,1,0,1,0,0,0,0,0
0,1,0,1,0,0,1,0,1,0,0,1
1,1,1,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,1
1,1,0,1,0,0,1,0,1,0,0,1
0,0,0,0,1,0,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,1
0,1,1,1,0,0,1,0,1,0,0,0
1,0,0,0,1,0,1,0,0,0,1,0
1,1,0,1,1,0,1,0,0,0,0,1
1,1,1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,0,1,0,1,0,1
0,1,0,1,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,0,1,0,1,0,1
0,1,0,0,1,0,0,0,0,1,0,0
1,1,0,1,1,0,0,0,0,0,0,1
1,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,1,0,0,0,0,0
0,1,1,1,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,0,1,0,0
1,1,1,0,1,0,0,1,0,1,0,0
1,0,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,0,0,0
1,1,1,0,1,0,0,1,0,1,0,1
1,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,1
0,1,0,1,0,0,1,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,1
1,1,1,1,1,0,0,1,0,0,0,1
1,1,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1
1,1,0,0,1,0,0,0,0,0,0,1
0,1,0,1,0,0,1,0,0,0,0,1
0,0,0,0,0,0,1,0,0,0,0,1
1,0,0,1,0,0,1,0,1,0,0,1
0,0,0,1,0,0,1,0,0,0,0,0
1,1,1,1,1,0,0,1,0,0,0,1
1,1,1,0,1,0,1,0,1,0,0,0
1,1,0,0,1,0,0,0,0,1,0,1
1,1,1,0,1,0,0,1,0,0,0,1
0,0,0,1,0,0,1,0,1,0,0,1
1,1,1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1
0,1,1,1,1,0,0,1,0,0,0,0
0,1,0,1,0,0,1,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,1
1,1,0,0,1,0,0,0,0,1,0,0
0,0,0,1,0,0,1,0,0,0,0,1
1,1,1,1,1,0,0,0,0,0,1,0
1,1,1,1,1,0,0,1,0,0,0,1
1,0,0,0,0,0,1,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1
1,1,1,0,1,0,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,1
0,1,1,1,1,1,0,1,1,0,0,0
1,1,1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,0,1,0,0
1,1,0,0,0,0,1,0,0,0,0,0
1,1,1,0,1,0,0,1,0,1,0,1
1,1,0,0,1,0,1,0,0,0,0,1
1,1,1,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,0,0,0
0,1,0,0,1,0,0,0,0,0,0,1
0,1,0,1,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,1,0,1,0,1
0,1,0,0,1,0,0,0,0,0,0,1
0,1,0,1,0,0,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,1,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,1,0,0,0,0,0
1,1,1,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,1,1,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,1,0,1,0,1
0,1,0,0,0,0,0,0,0,0,0,1
1,1,1,0,1,0,0,1,0,1,0,1
0,1,0,0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,1,0,1,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,0,1,0,0,0,1,1
0,0,0,1,0,0,0,0,0,0,0,1
1,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,0,1,0,1
0,0,0,0,0,0,1,0,0,0,0,1
0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,1
0,1,0,0,0,0,0,0,0,0,0,1
0,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,0,0,1,0,1,0,0,0
0,1,0,1,0,0,1,0,0,0,0,1
1,1,1,1,1,0,0,1,0,1,0,1
1,1,0,1,1,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1
1,1,1,0,1,0,1,1,0,0,0,1
1,1,1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,0,1,0,1,0,1
0,0,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,0,1,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1
1,1,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,1
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,1,0,0
0,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,0,1,0,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,0,1,0,0
0,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,0,1,0,1
1,1,0,0,1,0,0,0,0,1,0,1
0,0,0,0,0,0,1,0,0,0,0,1
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,0,1,0,1
1,1,0,0,0,0,1,0,0,0,0,0
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,0,1,0,1,0,0
0,1,1,0,1,0,0,1,0,1,0,0
1,1,1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,0,0,0,1,0,1
1,1,1,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,1,1,1,0,1,1,1,0,1
1,1,1,0,1,0,0,0,0,1,0,1
1,1,1,0,1,0,0,1,0,1,0,0
1,1,1,0,1,0,0,1,0,1,0,1
1,1,0,0,1,0,0,0,0,1,0,1
1,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,0,1,0,1
1,1,1,0,1,0,0,1,0,1,0,0
0,1,1,1,1,0,0,1,0,1,0,0
1,1,1,0,1,0,0,1,0,1,0,0
1,1,1,0,1,0,0,1,1,1,0,1
1,1,1,0,1,0,0,1,0,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0
1,1,0,0,0,0,0,0,1,0,1,1
1,1,1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,0,1,0,0
1,1,1,0,1,0,0,1,0,1,0,1
1,1,0,0,1,0,0,0,0,1,0,1
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,1,0,0
0,1,1,0,1,0,0,1,0,1,0,0
0,1,1,0,1,0,0,0,1,1,0,0
1,1,0,0,0,0,1,0,1,0,0,0
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,0,1,0,0
1,1,1,0,1,0,0,0,1,1,0,0
1,1,1,0,1,0,0,0,0,1,0,1
1,1,1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,0,1,0,0
0,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,0,1,0,0
0,1,1,0,1,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,0,1
0,1,0,0,1,0,0,0,1,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,1,0,1,0,0
0,1,1,0,1,0,0,1,0,1,0,1
1,1,1,0,1,0,0,1,0,1,0,1
1,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,1,1,0,0
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,1,0,0,0,1,1,1,0,1
1,1,0,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,1,1,0,1
0,1,0,0,1,0,0,0,0,1,0,1
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,1,1,0,0
1,1,1,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,0,1,0,1
1,1,1,0,1,0,0,0,0,1,0,0
1,1,1,0,1,0,0,0,0,1,0,1
1,1,1,0,1,0,0,1,1,1,0,1
1,1,1,0,1,0,0,0,0,1,0,1
1,1,0,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,1,0,1
1,1,1,0,1,0,0,0,1,1,0,0